datetime,rain_last_5h_avg,rain_last_5h_sum,rain_last_5h_max,rain_last_5h_std,current_rain,is_flooded
2023-01-01 00:00:00,3.7979999999999996,18.99,15.28,5.918082121768841,15.28,0
2023-01-01 01:00:00,13.612,68.06,49.07,18.593948908179776,49.07,1
2023-01-01 02:00:00,18.914,94.57000000000001,49.07,17.71547639777153,26.51,1
2023-01-01 03:00:00,20.232,101.16,49.07,16.754368266216428,10.3,1
2023-01-01 04:00:00,22.407999999999998,112.03999999999999,49.07,14.546446163926086,10.88,0
2023-01-01 05:00:00,23.052,115.25999999999999,49.07,14.285558302005558,18.5,0
2023-01-01 06:00:00,15.913999999999998,79.57,26.51,6.03724970495672,13.38,0
2023-01-01 07:00:00,10.612,53.06,18.5,6.044271337390471,0.0,0
2023-01-01 08:00:00,8.552000000000001,42.760000000000005,18.5,7.402233176548818,0.0,0
2023-01-01 09:00:00,7.178,35.89,18.5,7.479787162747347,4.01,0
2023-01-01 10:00:00,9.874,49.370000000000005,31.98,12.085905179174624,31.98,1
2023-01-01 11:00:00,16.258,81.28999999999999,45.3,18.811048242987415,45.3,1
2023-01-01 12:00:00,25.174,125.86999999999999,45.3,19.54285301587258,44.58,0
2023-01-01 13:00:00,30.814,154.07,45.3,15.006624670458045,28.2,1
2023-01-01 14:00:00,39.22,196.1,46.04,7.563946060093236,46.04,1
2023-01-01 15:00:00,39.632,198.16,46.04,7.206004163196132,34.04,1
2023-01-01 16:00:00,34.364,171.82,46.04,10.159514949051456,18.96,1
2023-01-01 17:00:00,25.448,127.24000000000001,46.04,15.460409308941339,0.0,0
2023-01-01 18:00:00,19.808,99.03999999999999,46.04,18.309016795011136,0.0,0
2023-01-01 19:00:00,10.6,53.0,34.04,13.830424433111226,0.0,0
2023-01-01 20:00:00,4.554,22.77,18.96,7.352593011992436,3.81,0
2023-01-01 21:00:00,0.762,3.81,3.81,1.524,0.0,0
2023-01-01 22:00:00,0.762,3.81,3.81,1.524,0.0,0
2023-01-01 23:00:00,0.762,3.81,3.81,1.524,0.0,0
2023-01-02 00:00:00,0.762,3.81,3.81,1.524,0.0,0
2023-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0
2023-01-02 02:00:00,0.828,4.14,4.14,1.656,4.14,0
2023-01-02 03:00:00,9.116,45.58,41.44,16.241341816487946,41.44,0
2023-01-02 04:00:00,12.534,62.67,41.44,15.754209088367464,17.09,1
2023-01-02 05:00:00,14.824000000000002,74.12,41.44,14.552174545407295,11.45,1
2023-01-02 06:00:00,14.824000000000002,74.12,41.44,14.552174545407295,0.0,0
2023-01-02 07:00:00,13.996,69.98,41.44,15.23813715648996,0.0,0
2023-01-02 08:00:00,6.2299999999999995,31.15,17.09,6.869034866704346,2.61,0
2023-01-02 09:00:00,2.812,14.059999999999999,11.45,4.435715951230421,0.0,0
