datetime,rainfall_filename,image_filename,is_flooded
2023-01-01 00:00:00,20230101_000000_rainfall.csv,20230101_000000_image.png,0
2023-01-01 01:00:00,20230101_010000_rainfall.csv,20230101_010000_image.png,1
2023-01-01 02:00:00,20230101_020000_rainfall.csv,20230101_020000_image.png,1
2023-01-01 03:00:00,20230101_030000_rainfall.csv,20230101_030000_image.png,1
2023-01-01 04:00:00,20230101_040000_rainfall.csv,20230101_040000_image.png,0
2023-01-01 05:00:00,20230101_050000_rainfall.csv,20230101_050000_image.png,0
2023-01-01 06:00:00,20230101_060000_rainfall.csv,20230101_060000_image.png,0
2023-01-01 07:00:00,20230101_070000_rainfall.csv,20230101_070000_image.png,0
2023-01-01 08:00:00,20230101_080000_rainfall.csv,20230101_080000_image.png,0
2023-01-01 09:00:00,20230101_090000_rainfall.csv,20230101_090000_image.png,0
2023-01-01 10:00:00,20230101_100000_rainfall.csv,20230101_100000_image.png,1
2023-01-01 11:00:00,20230101_110000_rainfall.csv,20230101_110000_image.png,1
2023-01-01 12:00:00,20230101_120000_rainfall.csv,20230101_120000_image.png,0
2023-01-01 13:00:00,20230101_130000_rainfall.csv,20230101_130000_image.png,1
2023-01-01 14:00:00,20230101_140000_rainfall.csv,20230101_140000_image.png,1
2023-01-01 15:00:00,20230101_150000_rainfall.csv,20230101_150000_image.png,1
2023-01-01 16:00:00,20230101_160000_rainfall.csv,20230101_160000_image.png,1
2023-01-01 17:00:00,20230101_170000_rainfall.csv,20230101_170000_image.png,0
2023-01-01 18:00:00,20230101_180000_rainfall.csv,20230101_180000_image.png,0
2023-01-01 19:00:00,20230101_190000_rainfall.csv,20230101_190000_image.png,0
2023-01-01 20:00:00,20230101_200000_rainfall.csv,20230101_200000_image.png,0
2023-01-01 21:00:00,20230101_210000_rainfall.csv,20230101_210000_image.png,0
2023-01-01 22:00:00,20230101_220000_rainfall.csv,20230101_220000_image.png,0
2023-01-01 23:00:00,20230101_230000_rainfall.csv,20230101_230000_image.png,0
2023-01-02 00:00:00,20230102_000000_rainfall.csv,20230102_000000_image.png,0
2023-01-02 01:00:00,20230102_010000_rainfall.csv,20230102_010000_image.png,0
2023-01-02 02:00:00,20230102_020000_rainfall.csv,20230102_020000_image.png,0
2023-01-02 03:00:00,20230102_030000_rainfall.csv,20230102_030000_image.png,0
2023-01-02 04:00:00,20230102_040000_rainfall.csv,20230102_040000_image.png,1
2023-01-02 05:00:00,20230102_050000_rainfall.csv,20230102_050000_image.png,1
2023-01-02 06:00:00,20230102_060000_rainfall.csv,20230102_060000_image.png,0
2023-01-02 07:00:00,20230102_070000_rainfall.csv,20230102_070000_image.png,0
2023-01-02 08:00:00,20230102_080000_rainfall.csv,20230102_080000_image.png,0
2023-01-02 09:00:00,20230102_090000_rainfall.csv,20230102_090000_image.png,0
2023-01-02 10:00:00,20230102_100000_rainfall.csv,20230102_100000_image.png,0
2023-01-02 11:00:00,20230102_110000_rainfall.csv,20230102_110000_image.png,0
2023-01-02 12:00:00,20230102_120000_rainfall.csv,20230102_120000_image.png,0
2023-01-02 13:00:00,20230102_130000_rainfall.csv,20230102_130000_image.png,0
2023-01-02 14:00:00,20230102_140000_rainfall.csv,20230102_140000_image.png,0
2023-01-02 15:00:00,20230102_150000_rainfall.csv,20230102_150000_image.png,0
2023-01-02 16:00:00,20230102_160000_rainfall.csv,20230102_160000_image.png,0
2023-01-02 17:00:00,20230102_170000_rainfall.csv,20230102_170000_image.png,0
2023-01-02 18:00:00,20230102_180000_rainfall.csv,20230102_180000_image.png,0
2023-01-02 19:00:00,20230102_190000_rainfall.csv,20230102_190000_image.png,0
2023-01-02 20:00:00,20230102_200000_rainfall.csv,20230102_200000_image.png,0
2023-01-02 21:00:00,20230102_210000_rainfall.csv,20230102_210000_image.png,0
2023-01-02 22:00:00,20230102_220000_rainfall.csv,20230102_220000_image.png,0
2023-01-02 23:00:00,20230102_230000_rainfall.csv,20230102_230000_image.png,0
2023-01-03 00:00:00,20230103_000000_rainfall.csv,20230103_000000_image.png,0
2023-01-03 01:00:00,20230103_010000_rainfall.csv,20230103_010000_image.png,0
